id,degree_centrality,betweenness_centrality,community,definition,construct,category
TECH-CONCEPT,26,3.1075347582543534e-05,27,"Mention of understanding or familiarity with AI/ML, data, math, ai product lifecycle concepts",Technical Competencies,Conceptual AI Knowledge
"('CONTEXT-COMPLEX', 'TECH-OPS')",1,0.0,29,,,
TECH-OPS,27,3.356137538914702e-05,29,"Mention of technical operations such as MLOps, CI/CD for AI, model deployment, or production systems",Technical Competencies,Integration and Deployment
"('CONTEXT-COMPLEX', 'analytical mindset')",1,0.0,31,,,
analytical mindset,21,2.007945536102813e-05,31,No definition available,Unknown,Unknown
"('CONTEXT-COMPLEX', 'passion for digital transformation')",1,0.0,33,,,
passion for digital transformation,17,1.3003837757618217e-05,33,No definition available,Unknown,Unknown
"('CONTEXT-COMPLEX', 'process improvement')",1,0.0,35,,,
process improvement,28,3.614301964985063e-05,35,No definition available,Unknown,Unknown
"('CORE-ADAPT', 'CORE-BUSINESS')",1,0.0,3,,,
"('CORE-ADAPT', 'EXP-AI-YRS')",1,0.0,5,,,
"('CORE-ADAPT', 'EXP-INDUSTRY')",1,0.0,6,,,
"('CORE-ADAPT', 'EXP-PM-YRS')",1,0.0,84,,,
"('CORE-ADAPT', 'EXP_ROLE')",1,0.0,11,,,
"('CORE-ADAPT', 'PM-BUDGET')",1,0.0,13,,,
"('CORE-ADAPT', 'PM-PLAN')",1,0.0,15,,,
"('CORE-ADAPT', 'PM-RISK')",1,0.0,17,,,
"('CORE-ADAPT', 'PM-TOOL')",1,0.0,135,,,
"('CORE-ADAPT', 'QUAL-PREF')",1,0.0,21,,,
"('CORE-ADAPT', 'SS-LEADERSHIP')",1,0.0,23,,,
"('CORE-ADAPT', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('CORE-ADAPT', 'TECH-CONCEPT')",1,0.0,27,,,
"('CORE-ADAPT', 'TECH-OPS')",1,0.0,29,,,
"('CORE-ADAPT', 'analytical mindset')",1,0.0,31,,,
"('CORE-ADAPT', 'passion for digital transformation')",1,0.0,33,,,
"('CORE-ADAPT', 'process improvement')",1,0.0,35,,,
"('CORE-BUSINESS', 'EXP-AI-YRS')",1,0.0,5,,,
"('CORE-BUSINESS', 'EXP-INDUSTRY')",1,0.0,6,,,
"('CORE-BUSINESS', 'EXP-PM-YRS')",1,0.0,84,,,
"('CORE-BUSINESS', 'EXP_ROLE')",1,0.0,11,,,
"('CORE-BUSINESS', 'PM-BUDGET')",1,0.0,13,,,
"('CORE-BUSINESS', 'PM-PLAN')",1,0.0,15,,,
"('CORE-BUSINESS', 'PM-RISK')",1,0.0,17,,,
"('CORE-BUSINESS', 'PM-TOOL')",1,0.0,135,,,
"('CORE-BUSINESS', 'QUAL-PREF')",1,0.0,21,,,
"('CORE-BUSINESS', 'SS-LEADERSHIP')",1,0.0,23,,,
"('CORE-BUSINESS', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('CORE-BUSINESS', 'TECH-CONCEPT')",1,0.0,27,,,
"('CORE-BUSINESS', 'TECH-OPS')",1,0.0,29,,,
"('CORE-BUSINESS', 'analytical mindset')",1,0.0,31,,,
"('CORE-BUSINESS', 'passion for digital transformation')",1,0.0,33,,,
"('CORE-BUSINESS', 'process improvement')",1,0.0,35,,,
"('EXP-AI-YRS', 'EXP-INDUSTRY')",1,0.0,6,,,
"('EXP-AI-YRS', 'EXP-PM-YRS')",1,0.0,84,,,
"('EXP-AI-YRS', 'EXP_ROLE')",1,0.0,11,,,
"('EXP-AI-YRS', 'PM-BUDGET')",1,0.0,13,,,
"('EXP-AI-YRS', 'PM-PLAN')",1,0.0,15,,,
"('EXP-AI-YRS', 'PM-RISK')",1,0.0,17,,,
"('EXP-AI-YRS', 'PM-TOOL')",1,0.0,135,,,
"('EXP-AI-YRS', 'QUAL-PREF')",1,0.0,21,,,
"('EXP-AI-YRS', 'SS-LEADERSHIP')",1,0.0,23,,,
"('EXP-AI-YRS', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('EXP-AI-YRS', 'TECH-CONCEPT')",1,0.0,27,,,
"('EXP-AI-YRS', 'TECH-OPS')",1,0.0,29,,,
"('EXP-AI-YRS', 'analytical mindset')",1,0.0,31,,,
"('EXP-AI-YRS', 'passion for digital transformation')",1,0.0,33,,,
"('EXP-AI-YRS', 'process improvement')",1,0.0,35,,,
"('EXP-INDUSTRY', 'EXP-PM-YRS')",1,0.0,84,,,
"('EXP-INDUSTRY', 'EXP_ROLE')",1,0.0,11,,,
"('EXP-INDUSTRY', 'PM-BUDGET')",1,0.0,13,,,
"('EXP-INDUSTRY', 'PM-PLAN')",1,0.0,15,,,
"('EXP-INDUSTRY', 'PM-RISK')",1,0.0,17,,,
"('EXP-INDUSTRY', 'PM-TOOL')",1,0.0,135,,,
"('EXP-INDUSTRY', 'QUAL-PREF')",1,0.0,21,,,
"('EXP-INDUSTRY', 'SS-LEADERSHIP')",1,0.0,23,,,
"('EXP-INDUSTRY', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('EXP-INDUSTRY', 'TECH-CONCEPT')",1,0.0,27,,,
"('EXP-INDUSTRY', 'TECH-OPS')",1,0.0,29,,,
"('EXP-INDUSTRY', 'analytical mindset')",1,0.0,31,,,
"('EXP-INDUSTRY', 'passion for digital transformation')",1,0.0,33,,,
"('EXP-INDUSTRY', 'process improvement')",1,0.0,35,,,
"('EXP-PM-YRS', 'EXP_ROLE')",1,0.0,11,,,
"('EXP-PM-YRS', 'PM-BUDGET')",1,0.0,13,,,
"('EXP-PM-YRS', 'PM-PLAN')",1,0.0,15,,,
"('EXP-PM-YRS', 'PM-RISK')",1,0.0,17,,,
"('EXP-PM-YRS', 'PM-TOOL')",1,0.0,135,,,
"('EXP-PM-YRS', 'QUAL-PREF')",1,0.0,21,,,
"('EXP-PM-YRS', 'SS-LEADERSHIP')",1,0.0,23,,,
"('EXP-PM-YRS', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('EXP-PM-YRS', 'TECH-CONCEPT')",1,0.0,27,,,
"('EXP-PM-YRS', 'TECH-OPS')",1,0.0,29,,,
"('EXP-PM-YRS', 'analytical mindset')",1,0.0,31,,,
"('EXP-PM-YRS', 'passion for digital transformation')",1,0.0,33,,,
"('EXP-PM-YRS', 'process improvement')",1,0.0,35,,,
"('EXP_ROLE', 'PM-BUDGET')",1,0.0,13,,,
"('EXP_ROLE', 'PM-PLAN')",1,0.0,15,,,
"('EXP_ROLE', 'PM-RISK')",1,0.0,17,,,
"('EXP_ROLE', 'PM-TOOL')",1,0.0,135,,,
"('EXP_ROLE', 'QUAL-PREF')",1,0.0,21,,,
"('EXP_ROLE', 'SS-LEADERSHIP')",1,0.0,23,,,
"('EXP_ROLE', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('EXP_ROLE', 'TECH-CONCEPT')",1,0.0,27,,,
"('EXP_ROLE', 'TECH-OPS')",1,0.0,29,,,
"('EXP_ROLE', 'analytical mindset')",1,0.0,31,,,
"('EXP_ROLE', 'passion for digital transformation')",1,0.0,33,,,
"('EXP_ROLE', 'process improvement')",1,0.0,35,,,
"('PM-BUDGET', 'PM-PLAN')",1,0.0,15,,,
"('PM-BUDGET', 'PM-RISK')",1,0.0,17,,,
"('PM-BUDGET', 'PM-TOOL')",1,0.0,135,,,
"('PM-BUDGET', 'QUAL-PREF')",1,0.0,21,,,
"('PM-BUDGET', 'SS-LEADERSHIP')",1,0.0,23,,,
"('PM-BUDGET', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('PM-BUDGET', 'TECH-CONCEPT')",1,0.0,27,,,
"('PM-BUDGET', 'TECH-OPS')",1,0.0,29,,,
"('PM-BUDGET', 'analytical mindset')",1,0.0,31,,,
"('PM-BUDGET', 'passion for digital transformation')",1,0.0,33,,,
"('PM-BUDGET', 'process improvement')",1,0.0,35,,,
"('PM-PLAN', 'PM-RISK')",1,0.0,17,,,
"('PM-PLAN', 'PM-TOOL')",1,0.0,135,,,
"('PM-PLAN', 'QUAL-PREF')",1,0.0,21,,,
"('PM-PLAN', 'SS-LEADERSHIP')",1,0.0,23,,,
"('PM-PLAN', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('PM-PLAN', 'TECH-CONCEPT')",1,0.0,27,,,
"('PM-PLAN', 'TECH-OPS')",1,0.0,29,,,
"('PM-PLAN', 'analytical mindset')",1,0.0,31,,,
"('PM-PLAN', 'passion for digital transformation')",1,0.0,33,,,
"('PM-PLAN', 'process improvement')",1,0.0,35,,,
"('PM-RISK', 'PM-TOOL')",1,0.0,135,,,
"('PM-RISK', 'QUAL-PREF')",1,0.0,21,,,
"('PM-RISK', 'SS-LEADERSHIP')",1,0.0,23,,,
"('PM-RISK', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('PM-RISK', 'TECH-CONCEPT')",1,0.0,27,,,
"('PM-RISK', 'TECH-OPS')",1,0.0,29,,,
"('PM-RISK', 'analytical mindset')",1,0.0,31,,,
"('PM-RISK', 'passion for digital transformation')",1,0.0,33,,,
"('PM-RISK', 'process improvement')",1,0.0,35,,,
"('PM-TOOL', 'QUAL-PREF')",1,0.0,21,,,
"('PM-TOOL', 'SS-LEADERSHIP')",1,0.0,23,,,
"('PM-TOOL', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('PM-TOOL', 'TECH-CONCEPT')",1,0.0,27,,,
"('PM-TOOL', 'TECH-OPS')",1,0.0,29,,,
"('PM-TOOL', 'analytical mindset')",1,0.0,31,,,
"('PM-TOOL', 'passion for digital transformation')",1,0.0,33,,,
"('PM-TOOL', 'process improvement')",1,0.0,35,,,
"('QUAL-PREF', 'SS-LEADERSHIP')",1,0.0,23,,,
"('QUAL-PREF', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('QUAL-PREF', 'TECH-CONCEPT')",1,0.0,27,,,
"('QUAL-PREF', 'TECH-OPS')",1,0.0,29,,,
"('QUAL-PREF', 'analytical mindset')",1,0.0,31,,,
"('QUAL-PREF', 'passion for digital transformation')",1,0.0,33,,,
"('QUAL-PREF', 'process improvement')",1,0.0,35,,,
"('SS-LEADERSHIP', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('SS-LEADERSHIP', 'TECH-CONCEPT')",1,0.0,27,,,
"('SS-LEADERSHIP', 'TECH-OPS')",1,0.0,29,,,
"('SS-LEADERSHIP', 'analytical mindset')",1,0.0,31,,,
"('SS-LEADERSHIP', 'passion for digital transformation')",1,0.0,33,,,
"('SS-LEADERSHIP', 'process improvement')",1,0.0,35,,,
"('SS-STAKEHOLDER', 'TECH-CONCEPT')",1,0.0,27,,,
"('SS-STAKEHOLDER', 'TECH-OPS')",1,0.0,29,,,
"('SS-STAKEHOLDER', 'analytical mindset')",1,0.0,31,,,
"('SS-STAKEHOLDER', 'passion for digital transformation')",1,0.0,33,,,
"('SS-STAKEHOLDER', 'process improvement')",1,0.0,35,,,
"('TECH-CONCEPT', 'TECH-OPS')",1,0.0,29,,,
"('TECH-CONCEPT', 'analytical mindset')",1,0.0,31,,,
"('TECH-CONCEPT', 'passion for digital transformation')",1,0.0,33,,,
"('TECH-CONCEPT', 'process improvement')",1,0.0,35,,,
"('TECH-OPS', 'analytical mindset')",1,0.0,31,,,
"('TECH-OPS', 'passion for digital transformation')",1,0.0,33,,,
"('TECH-OPS', 'process improvement')",1,0.0,35,,,
"('analytical mindset', 'passion for digital transformation')",1,0.0,33,,,
"('analytical mindset', 'process improvement')",1,0.0,35,,,
"('passion for digital transformation', 'process improvement')",1,0.0,35,,,
"('CERT-TECH', 'CONTEXT-COMPLEX')",1,0.0,201,,,
CONTEXT-COMPLEX,6,1.4342468115020094e-06,201,"Mention of managing complex, ambiguous, or innovative projects",Project Context,Complexity
"('CERT-TECH', 'CONTEXT-ETHIC')",1,0.0,207,,,
CONTEXT-ETHIC,6,1.4342468115020094e-06,207,"Mention of ethical AI, responsible AI, bias, fairness, or transparency",Project Context,Ethical and Regulatory
"('CERT-TECH', 'CORE-ADAPT')",1,0.0,0,,,
"('CERT-TECH', 'CORE-BUSINESS')",1,0.0,3,,,
"('CERT-TECH', 'EDU-ADV')",1,0.0,196,,,
EDU-ADV,7,2.007945536102813e-06,196,Formal postgraduate degrees or advanced educational attainment such as Master's or Doctorate required or preferred by the employer,Educational Attainment,Advanced Academic Degrees
"('CERT-TECH', 'EXP-INDUSTRY')",1,0.0,6,,,
"('CERT-TECH', 'EXP_ROLE')",1,0.0,11,,,
"('CERT-TECH', 'PM-PLAN')",1,0.0,15,,,
"('CERT-TECH', 'PM-RISK')",1,0.0,17,,,
"('CERT-TECH', 'QUAL-PREF')",1,0.0,21,,,
"('CERT-TECH', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('CERT-TECH', 'TECH-CONCEPT')",1,0.0,27,,,
"('CERT-TECH', 'TECH-HANDSON')",1,0.0,205,,,
TECH-HANDSON,27,3.356137538914702e-05,205,"Mention of proficiency or experience with specific languages, platforms or data tools",Technical Competencies,Hands-on Technical Skills
"('CERT-TECH', 'TECH-OPS')",1,0.0,29,,,
"('CONTEXT-COMPLEX', 'CONTEXT-ETHIC')",1,0.0,207,,,
"('CONTEXT-COMPLEX', 'EDU-ADV')",1,0.0,196,,,
"('CONTEXT-COMPLEX', 'TECH-HANDSON')",1,0.0,205,,,
"('CONTEXT-ETHIC', 'CORE-ADAPT')",1,0.0,0,,,
"('CONTEXT-ETHIC', 'CORE-BUSINESS')",1,0.0,3,,,
"('CONTEXT-ETHIC', 'EDU-ADV')",1,0.0,196,,,
"('CONTEXT-ETHIC', 'EXP-INDUSTRY')",1,0.0,6,,,
"('CONTEXT-ETHIC', 'EXP_ROLE')",1,0.0,11,,,
"('CONTEXT-ETHIC', 'PM-PLAN')",1,0.0,15,,,
"('CONTEXT-ETHIC', 'PM-RISK')",1,0.0,17,,,
"('CONTEXT-ETHIC', 'QUAL-PREF')",1,0.0,21,,,
"('CONTEXT-ETHIC', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('CONTEXT-ETHIC', 'TECH-CONCEPT')",1,0.0,27,,,
"('CONTEXT-ETHIC', 'TECH-HANDSON')",1,0.0,205,,,
"('CONTEXT-ETHIC', 'TECH-OPS')",1,0.0,29,,,
"('CORE-ADAPT', 'EDU-ADV')",1,0.0,196,,,
"('CORE-ADAPT', 'TECH-HANDSON')",1,0.0,205,,,
"('CORE-BUSINESS', 'EDU-ADV')",1,0.0,196,,,
"('CORE-BUSINESS', 'TECH-HANDSON')",1,0.0,205,,,
"('EDU-ADV', 'EXP-INDUSTRY')",1,0.0,6,,,
"('EDU-ADV', 'EXP_ROLE')",1,0.0,11,,,
"('EDU-ADV', 'PM-PLAN')",1,0.0,15,,,
"('EDU-ADV', 'PM-RISK')",1,0.0,17,,,
"('EDU-ADV', 'QUAL-PREF')",1,0.0,21,,,
"('EDU-ADV', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('EDU-ADV', 'TECH-CONCEPT')",1,0.0,27,,,
"('EDU-ADV', 'TECH-HANDSON')",1,0.0,205,,,
"('EDU-ADV', 'TECH-OPS')",1,0.0,29,,,
"('EXP-INDUSTRY', 'TECH-HANDSON')",1,0.0,205,,,
"('EXP_ROLE', 'TECH-HANDSON')",1,0.0,205,,,
"('PM-PLAN', 'TECH-HANDSON')",1,0.0,205,,,
"('PM-RISK', 'TECH-HANDSON')",1,0.0,205,,,
"('QUAL-PREF', 'TECH-HANDSON')",1,0.0,205,,,
"('SS-STAKEHOLDER', 'TECH-HANDSON')",1,0.0,205,,,
"('TECH-CONCEPT', 'TECH-HANDSON')",1,0.0,205,,,
"('TECH-HANDSON', 'TECH-OPS')",1,0.0,29,,,
"('4+ years professional experience', '8+ years experience (preferred)')",1,0.0,96,,,
8+ years experience (preferred),1,0.0,96,No definition available,Unknown,Unknown
"('4+ years professional experience', 'CONTEXT-COMPLEX')",1,0.0,201,,,
"('4+ years professional experience', 'CONTEXT-ETHIC')",1,0.0,207,,,
"('4+ years professional experience', 'CORE-ADAPT')",1,0.0,0,,,
"('4+ years professional experience', 'CORE-BUSINESS')",1,0.0,3,,,
"('4+ years professional experience', 'EXP-AI-YRS')",1,0.0,5,,,
"('4+ years professional experience', 'EXP-INDUSTRY')",1,0.0,6,,,
"('4+ years professional experience', 'EXP-PM-YRS')",1,0.0,84,,,
"('4+ years professional experience', 'EXP_ROLE')",1,0.0,11,,,
"('4+ years professional experience', 'PM-PLAN')",1,0.0,15,,,
"('4+ years professional experience', 'QUAL-PREF')",1,0.0,21,,,
"('4+ years professional experience', 'SS-LEADERSHIP')",1,0.0,23,,,
"('4+ years professional experience', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('4+ years professional experience', 'TECH-CONCEPT')",1,0.0,27,,,
"('4+ years professional experience', 'TECH-HANDSON')",1,0.0,205,,,
"('4+ years professional experience', 'TECH-OPS')",1,0.0,29,,,
"('4+ years professional experience', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
customer experience and success (digital engagement and support),17,1.3003837757618217e-05,102,No definition available,Unknown,Unknown
"('4+ years professional experience', 'embody microsoft culture and values')",1,0.0,133,,,
embody microsoft culture and values,20,1.8167126279025452e-05,133,No definition available,Unknown,Unknown
"('4+ years professional experience', 'equivalent experience')",1,0.0,106,,,
equivalent experience,19,1.6350413651122904e-05,106,No definition available,Unknown,Unknown
"('4+ years professional experience', 'familiarity with digital engagement platforms')",1,0.0,108,,,
familiarity with digital engagement platforms,20,1.8167126279025452e-05,108,No definition available,Unknown,Unknown
"('8+ years experience (preferred)', 'CONTEXT-COMPLEX')",1,0.0,201,,,
"('8+ years experience (preferred)', 'CONTEXT-ETHIC')",1,0.0,207,,,
"('8+ years experience (preferred)', 'CORE-ADAPT')",1,0.0,0,,,
"('8+ years experience (preferred)', 'CORE-BUSINESS')",1,0.0,3,,,
"('8+ years experience (preferred)', 'EXP-AI-YRS')",1,0.0,5,,,
"('8+ years experience (preferred)', 'EXP-INDUSTRY')",1,0.0,6,,,
"('8+ years experience (preferred)', 'EXP-PM-YRS')",1,0.0,84,,,
"('8+ years experience (preferred)', 'EXP_ROLE')",1,0.0,11,,,
"('8+ years experience (preferred)', 'PM-PLAN')",1,0.0,15,,,
"('8+ years experience (preferred)', 'QUAL-PREF')",1,0.0,21,,,
"('8+ years experience (preferred)', 'SS-LEADERSHIP')",1,0.0,23,,,
"('8+ years experience (preferred)', 'SS-STAKEHOLDER')",1,0.0,25,,,
"('8+ years experience (preferred)', 'TECH-CONCEPT')",1,0.0,27,,,
"('8+ years experience (preferred)', 'TECH-HANDSON')",1,0.0,205,,,
"('8+ years experience (preferred)', 'TECH-OPS')",1,0.0,29,,,
"('8+ years experience (preferred)', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('8+ years experience (preferred)', 'embody microsoft culture and values')",1,0.0,133,,,
"('8+ years experience (preferred)', 'equivalent experience')",1,0.0,106,,,
"('8+ years experience (preferred)', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('CONTEXT-COMPLEX', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('CONTEXT-COMPLEX', 'embody microsoft culture and values')",1,0.0,133,,,
"('CONTEXT-COMPLEX', 'equivalent experience')",1,0.0,106,,,
"('CONTEXT-COMPLEX', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('CONTEXT-ETHIC', 'EXP-AI-YRS')",1,0.0,5,,,
"('CONTEXT-ETHIC', 'EXP-PM-YRS')",1,0.0,84,,,
"('CONTEXT-ETHIC', 'SS-LEADERSHIP')",1,0.0,23,,,
"('CONTEXT-ETHIC', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('CONTEXT-ETHIC', 'embody microsoft culture and values')",1,0.0,133,,,
"('CONTEXT-ETHIC', 'equivalent experience')",1,0.0,106,,,
"('CONTEXT-ETHIC', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('CORE-ADAPT', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('CORE-ADAPT', 'embody microsoft culture and values')",1,0.0,133,,,
"('CORE-ADAPT', 'equivalent experience')",1,0.0,106,,,
"('CORE-ADAPT', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('CORE-BUSINESS', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('CORE-BUSINESS', 'embody microsoft culture and values')",1,0.0,133,,,
"('CORE-BUSINESS', 'equivalent experience')",1,0.0,106,,,
"('CORE-BUSINESS', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('EXP-AI-YRS', 'TECH-HANDSON')",1,0.0,205,,,
"('EXP-AI-YRS', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('EXP-AI-YRS', 'embody microsoft culture and values')",1,0.0,133,,,
"('EXP-AI-YRS', 'equivalent experience')",1,0.0,106,,,
"('EXP-AI-YRS', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('EXP-INDUSTRY', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('EXP-INDUSTRY', 'embody microsoft culture and values')",1,0.0,133,,,
"('EXP-INDUSTRY', 'equivalent experience')",1,0.0,106,,,
"('EXP-INDUSTRY', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('EXP-PM-YRS', 'TECH-HANDSON')",1,0.0,205,,,
"('EXP-PM-YRS', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('EXP-PM-YRS', 'embody microsoft culture and values')",1,0.0,133,,,
"('EXP-PM-YRS', 'equivalent experience')",1,0.0,106,,,
"('EXP-PM-YRS', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('EXP_ROLE', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('EXP_ROLE', 'embody microsoft culture and values')",1,0.0,133,,,
"('EXP_ROLE', 'equivalent experience')",1,0.0,106,,,
"('EXP_ROLE', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('PM-PLAN', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('PM-PLAN', 'embody microsoft culture and values')",1,0.0,133,,,
"('PM-PLAN', 'equivalent experience')",1,0.0,106,,,
"('PM-PLAN', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('QUAL-PREF', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('QUAL-PREF', 'embody microsoft culture and values')",1,0.0,133,,,
"('QUAL-PREF', 'equivalent experience')",1,0.0,106,,,
"('QUAL-PREF', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('SS-LEADERSHIP', 'TECH-HANDSON')",1,0.0,205,,,
"('SS-LEADERSHIP', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('SS-LEADERSHIP', 'embody microsoft culture and values')",1,0.0,133,,,
"('SS-LEADERSHIP', 'equivalent experience')",1,0.0,106,,,
"('SS-LEADERSHIP', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('SS-STAKEHOLDER', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('SS-STAKEHOLDER', 'embody microsoft culture and values')",1,0.0,133,,,
"('SS-STAKEHOLDER', 'equivalent experience')",1,0.0,106,,,
"('SS-STAKEHOLDER', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('TECH-CONCEPT', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('TECH-CONCEPT', 'embody microsoft culture and values')",1,0.0,133,,,
"('TECH-CONCEPT', 'equivalent experience')",1,0.0,106,,,
"('TECH-CONCEPT', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('TECH-HANDSON', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('TECH-HANDSON', 'embody microsoft culture and values')",1,0.0,133,,,
"('TECH-HANDSON', 'equivalent experience')",1,0.0,106,,,
"('TECH-HANDSON', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('TECH-OPS', 'customer experience and success (digital engagement and support)')",1,0.0,102,,,
"('TECH-OPS', 'embody microsoft culture and values')",1,0.0,133,,,
"('TECH-OPS', 'equivalent experience')",1,0.0,106,,,
"('TECH-OPS', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('customer experience and success (digital engagement and support)', 'embody microsoft culture and values')",1,0.0,133,,,
"('customer experience and success (digital engagement and support)', 'equivalent experience')",1,0.0,106,,,
"('customer experience and success (digital engagement and support)', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('embody microsoft culture and values', 'equivalent experience')",1,0.0,106,,,
"('embody microsoft culture and values', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('equivalent experience', 'familiarity with digital engagement platforms')",1,0.0,108,,,
"('CONTEXT-COMPLEX', 'CONTEXT-REG')",1,0.0,148,,,
CONTEXT-REG,5,9.561645410013394e-07,148,Mention of specific regulations,Project Context,Ethical and Regulatory
"('CONTEXT-COMPLEX', 'SS-CONFLICT')",1,0.0,150,,,
SS-CONFLICT,19,1.6350413651122904e-05,150,Mention of conflict resolution or negotiation skills,Core Competencies,Leadership and Soft Skills
"('CONTEXT-COMPLEX', 'application in life sciences')",1,0.0,152,,,
application in life sciences,19,1.6350413651122904e-05,152,No definition available,Unknown,Unknown
